rank,GEP1,GEP2,GEP3,GEP4,GEP5,GEP6,GEP7,GEP8,GEP9,GEP10,GEP11,GEP12
160,PURB,ANKRD44,RPL32,EVI2B,CPNE2,LGALS1,MAPK6,BHLHE40.AS1,RUVBL2,AC109826.1,POLA1,AC036103.1
161,COL6A1,RTN4R,AC087741.1,RGS2,LAG3,GPR137B,TRIM8,ZC3H8,PTPN22,ARMCX1,POC1A,AC106864.1
162,CSK,LCN12,PFDN5,SSR4,RBMS1,SLC27A3,LPP.AS2,RHBDD2,CAPZA1,DAB2IP,ESPL1,TBCC
163,ZNF445,UBAC2,RPLP1,ARL6IP5,SSR1,SH3BP2,GRAMD4,FGFRL1,CD59,FAM216A,RPA3,SDC3
164,ABI2,PRXL2B,KRT73,AL121944.1,NRIP1,LAT2,TNKS2,CD27,LINC01281,PIK3CD.AS2,WDHD1,C1orf43
165,SCAI,NOTUM,CYTH1,GNAO1,AL096865.1,SSH1,TMEM263,TNFRSF18,HNRNPM,MEF2C,KLHL23,AL161665.1
166,ACTG1,HERC1,TMEM106B,WNT7A,B4GALT5,SNX18,VWA5A,MRC1,PKM,ZNF667,NT5DC2,AL590133.2
167,PIP4P2,RETREG1,RPS27A,MAP3K1,SCN1B,CCL5,MGLL,C1QTNF6,G3BP1,CYYR1,CCNB2,AC109460.2
168,SLC7A7,GSDMB,C11orf1,LDHA,TMEM71,PTGDS,LRRC4,HILPDA,DENND5B,LRRC1,CRNDE,CHCHD3
169,CEP85L,IGFBP2,RPL9,TRIM2,ZNF652,CMC1,AL390728.6,ADCY3,AP1S2,GABPB1.AS1,KIF18A,MEIS1
170,MOB3A,SMARCA2,MYC,TMTC2,SPRY1,CST7,SLC4A7,SERPINE2,ITPR2,SAMD13,AUNIP,AC005104.1
171,SLC12A5,EML3,RPS27,LY6E,CCDC65,SFT2D2,DAAM1,SPIN1,PSMA4,CTHRC1,C21orf58,G3BP2
172,ATP2A3,BCL9L,INF2,IMPDH1,ABHD14A,DAB2,MARCH6,CUL9,SCCPDH,BCL2L1,RECQL4,AL358781.1
173,RERE,IFI44,RPL39,ATXN7,SPIDR,ZBTB44,TULP4,ELK3,CCDC189,NCF4,GGH,ENO2
174,KIAA0355,GAPVD1,PDK1,TSC22D4,SAMD12,YPEL1,S1PR3,LYST,GAPDH,BMPR1B,KIF20A,PFKFB3
175,RAPH1,MYO9B,RPLP0,LINC00324,OSTC,ZBTB38,TMEM26,FN1,RCC2,LRP12,RFC5,RNF7
176,PFN1,TNNT3,KRT73.AS1,AC103591.3,S100A6,MAPK1,LINC00891,ITFG1,ZNRF1,FRMD6,PHGDH,HEXIM1
177,PBX3,PRRC2B,GGNBP2,COPE,TTC39C.AS1,SAP30,SLC25A35,MYORG,IER3,CMBL,ALYREF,AP005329.1
178,PRXL2A,SLC27A1,LRRC7,H3F3B,ROR2,TRDC,CCDC81,RASGRP4,RHBDD2,PLEKHG4B,CCNF,ATF4
179,GRAP2,SPEG,MAML2,SRGAP2C,CASP1,RPS6KA1,AFF2,USP18,FAM120A,IFT81,CDC20,FAM162A
180,ZNF488,ELK4,PCED1B,TNIP1,MTRNR2L8,PPM1L,SDK2,ACSL1,GPI,RTKN,AURKA,SH2B3
181,EGR1,CHST15,PACS1,RAI14,B4GALT1,TSPAN32,IQSEC3,FST,CNTROB,AC027682.6,KIF24,OR1I1
182,DGKA,GPR171,BTF3,PPP1R15B,SIK3,CYB561D2,PACSIN2,SYP,UCHL1,AR,HIST1H4C,NR4A2
183,RBM6,DNM2,MFNG,MAF,ACTN4,ZNF365,TSPAN33,ERVH48.1,TRPC4AP,POLE,UHRF1,DIMT1
184,CNOT2,ADGRL1,RBM11,CDKN1B,MAN1A1,GNAL,STT3B,RYBP,AGPAT5,AEBP1,MCM6,FAM71D
185,MANSC1,ZBED3,RPL31,POLR2J,EOMES,MBP,PDCD1,TPRG1,FPGS,SERPINF1,ECT2,AC096637.2
186,BTLA,ENPP2,GCC2,NRIP3,APOBR,HHEX,REV3L,TMED8,UBXN4,SLC25A29,BLM,AC137590.1
